"id","title","institution","instructor","description","section","url","created_at","updated_at"
"6323","D843_1 Themes in discourse research: the case of Diana","The Open University","","This unit introduces some of the main themes and issues in discourse research using Martin Bashir's famous interview with Diana, Princess of Wales as a case study. Through this it examines the role of discourse in shaping social interaction and its psychological implications for the study of minds, selves and sense-making. The unit aims to demonstrate that in studying discourse we cannot help but study social life.","Social Sciences","http://openlearn.open.ac.uk/course/view.php?name=D843_1","2013-12-22 16:58:41.621566","2013-12-22 16:58:41.621566"
"6324","COUFAM 626 - Collaborative Consultation and Larger Systems, Fall 2007","University of Massachusetts - Boston","Gonzalo Bacigalupe, Ed.D","How do individuals and families interface with larger systems, and how do therapists intervene collaboratively? How do larger systems structure the lives of individuals and families? Relationally-trained practitioners are attempting to answer these questions through collaborative and interdisciplinary, team-focused projects in mental health, education, the law, and business, among other fields. Similarly, scholars and researchers are developing specific culturally responsive models: outreach family therapy, collaborative health care, multi-systemic school interventions, social-justice-oriented and spiritual approaches, organizational coaching, and consulting, among others. This course explores these developments and aims at developing a clinical and consulting knowledge that contributes to families, organizations, and communities within a collaborative and social-justice-oriented vision!","Counseling and School Psychology","http://ocw.umb.edu/counseling/counsl-626-collaborative-consultation-and-larger-systems","2013-12-22 16:58:41.635567","2013-12-22 16:58:41.635567"
"6325","1.964 Design for Sustainability","Massachusetts Institute of Technology","Dr. Eric Adams
                                            Prof. Jerome Connor
                                            Prof. John Ochsendorf
                                             Rossella Nicolin(Teaching Assistant)","The course considers the growing popularity of sustainability and its implications for the practice of engineering, particularly for the built environment. Two particular methodologies are featured: life cycle assessment (LCA) and Leadership in Energy and Environmental Design (LEED). The fundamentals of each approach will be presented. Specific topics covered include water and wastewater management, energy use, material selection, and construction.","Civil and Environmental Engineering","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-964-design-for-sustainability-fall-2006","2013-12-22 16:58:41.650568","2013-12-22 16:58:41.650568"
"6326","11.950 Citizen Participation, Community Development, and Urban Governance in the Developing World","Massachusetts Institute of Technology","Prof. Gianpaolo Baiocchi","Citizen participation is everywhere. Invoking it has become de rigueur when discussing cities and regions in the developing world. From the World Bank to the World Social Forum, the virtues of participation are extolled: From its capacity to ""deepen democracy"" to its ability to improve governance, there is no shortage to the benefits it can bring. While it is clear that participation cannot possibly ""do"" all that is claimed, it is also clear that citizen participation cannot be dismissed, and that there must be something to it. Figuring out what that something is — whether it is identifying the types of participation or the contexts in which it happens that bring about desirable outcomes — is the goal of the class.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-950-citizen-participation-community-development-and-urban-governance-in-the-developing-world-spring-2007","2013-12-22 16:58:41.665568","2013-12-22 16:58:41.665568"
"6327","STS.340J / ESD.52J Introduction to the History of Technology","Massachusetts Institute of Technology","Prof. David Mindell","This course is an introduction to the consideration of technology as the outcome of particular technical, historical, cultural, and political efforts, especially in the United States during the 19th and 20th centuries. Topics include industrialization of production and consumption, development of engineering professions, the emergence of management and its role in shaping technological forms, the technological construction of gender roles, and the relationship between humans and machines.","Science, Technology, and Society","http://ocw.mit.edu/courses/science-technology-and-society/sts-340j-introduction-to-the-history-of-technology-fall-2006","2013-12-22 16:58:41.679569","2013-12-22 16:58:41.679569"
"6328","6.251J / 15.081J Introduction to Mathematical Programming","Massachusetts Institute of Technology","Prof. John Tsitsiklis","This course offers an introduction to optimization problems, algorithms, and their complexity, emphasizing basic methodologies and the underlying mathematical structures. The main topics covered include:
Theory and algorithms for linear programming
Network flow problems and algorithms
Introduction to integer programming and combinatorial problems","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-251j-introduction-to-mathematical-programming-fall-2002","2013-12-22 16:58:41.690570","2013-12-22 16:58:41.690570"
"6329","16.660 / 16.853 / ESD.62J Introduction to Lean Six Sigma Methods","Massachusetts Institute of Technology","Prof. Earll Murman
                                             Hugh McManus
                                             Al Haggerty
                                            Prof. Annalisa Weigel","This course introduces the fundamental Lean Six Sigma principles that underlay modern continuous improvement approaches for industry, government and other organizations. Lean emerged from the Japanese automotive industry, particularly Toyota, and is focused on the creation of value through the relentless elimination of waste. Six Sigma is a quality system developed at Motorola which focuses on elimination of variation from all processes. The basic principles have been applied to a wide range of organizations and sectors to improve quality, productivity, customer satisfaction, employee satisfaction, time-to-market and financial performance. 
This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.","Aeronautics and Astronautics","http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660-introduction-to-lean-six-sigma-methods-january-iap-2008","2013-12-22 16:58:41.707571","2013-12-22 16:58:41.707571"
"6330","21M.350 Musical Analysis","Massachusetts Institute of Technology","Prof. Peter Child","This class is an introduction to the analysis of tonal music. Students develop analytical techniques based upon concepts learned in 21M.301-21M.302. Students study rhythm and form, harmony, line and motivic relationships at local and large scale levels of musical structure. Three papers (totaling 20 pages, one to be revised) and one oral presentation are required.","Music and Theater Arts","http://ocw.mit.edu/courses/music-and-theater-arts/21m-350-musical-analysis-spring-2008","2013-12-22 16:58:41.720572","2013-12-22 16:58:41.720572"
"6331","12.097 Chemical Investigations of Boston Harbor","Massachusetts Institute of Technology","Dr. Elizabeth Kujawinski
                                            Prof. Franz Hover
                                            Dr. Sheri White","This is an undergraduate introductory laboratory subject in ocean chemistry and measurement. There are three main elements to the course: oceanic chemical sampling and analysis, instrumentation development for the ocean environment, and the larger field of ocean science. 
This course is offered through The MIT/WHOI Joint Program. The MIT/WHOI Joint Program is one of the premier marine science graduate programs in the world. It draws on the complementary strengths and approaches of two great institutions: the Massachusetts Institute of Technology (MIT) and the Woods Hole Oceanographic Institution (WHOI).","Earth, Atmospheric, and Planetary Sciences","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-097-chemical-investigations-of-boston-harbor-january-iap-2006","2013-12-22 16:58:41.733572","2013-12-22 16:58:41.733572"
"6332","3.225 Electronic and Mechanical Properties of Materials","Massachusetts Institute of Technology","Prof. Eugene Fitzgerald
                                            Prof. Lorna Gibson","This course covers the fundamental concepts that determine the electrical, optical, magnetic and mechanical properties of metals, semiconductors, ceramics and polymers. The roles of bonding, structure (crystalline, defect, energy band and microstructure) and composition in influencing and controlling physical properties are discussed. Also included are case studies drawn from a variety of applications: semiconductor diodes and optical detectors, sensors, thin films, biomaterials, composites and cellular materials, and others.","Materials Science and Engineering","http://ocw.mit.edu/courses/materials-science-and-engineering/3-225-electronic-and-mechanical-properties-of-materials-fall-2007","2013-12-22 16:58:41.747573","2013-12-22 16:58:41.747573"
